PostId;StudentId;Content
4;406;"Hey hey,da ich hier noch keine Eintrge sehe dachte ich mal ich erffne das Gesprch.Nachdem wir ja nun in neue Gruppen verteilt wurden besteht Klrungsbedarf ber unseren Arbeitsprozess fr die Gruppenaufgabe.In meiner alten Gruppe haben sich nur 3 von 5 Leuten beteiligt, die Kommunikation war nach der ersten Woche auch nicht mehr wirklich gegeben. Stattdessen hat jeder einfach ins  Etherpad geschrieben was er fr wichtig hielt und geschaut, dass es nicht komplett zusammenhangslos wirkte. Von daher gehe ich davon aus das es nur besser werden kann.Wie wollt ihr das hier angehen? Habt ihr bestimmte Zeiten zu denen ihr daran arbeiten wollt/werdet und 
wie habt ihr bisher die Kommunikation in euren alten Gruppen gefhrt?Liebe GreNicolas"
5;427;". Nach der Theorie von Alex Osborn versteht man unter dem Brainstorming in Gruppen ein kreatives Problemlsen, welches in fact-finding,idea-finding und solution-finding unterteilt wird. Bei verschiedenen Arbeiten mit mehreren Gruppenmitgliedern sollte man besonderes auf das Trittbrettfahrerproblem, welches auch social loafing genannt wird, achten. Hierbei verlassen sich Mitglieder auf andere Mitglieder und profitieren von den Leistungen anderer, obwohl sie grtenteils selbst einen guten Beitrag leisten knnten. Ein anderes Problem welches bei Brainstorming auftreten kann, ist das der Bewertungsangst. Darunter versteht man, dass einige Gruppenmitglieder Angst haben sich zu uern und ihre eigenen Ideen vorzustellen, um nicht etwas Falsches zu sagen. Weiterhin kann das Problem der Produktionsblockierung entstehen. Hier kann zu jedem Zeitpunkt nur ein Mitglied ein Wort ergreifen (Turn-taking). Auerdem  sollten beim Brainstorming die vier Regeln nach Osborn eingehalten werden, um ein produktives Ergebnis zu erzielen. Diese lauten: Je mehr Ideen, desto besser; Je ungewhnlicher dieIdeen, desto besser; Verbessere und Ergnze bereits genannte Ideen; Enthalte dich jeglicher Kritik."
6;427;"Hi zusammen,da noch keiner angefangen hat und morgen ja die Frist endet, habe ich jetzt auch einfach mal angefangen und einen Text mit den meiner Meinung nach wichtigsten Kriterien zusammengefasst... Ihr knnt ja dann den Rest ergnzen....LG Melisa"
7;363;"Um nun ein mglichst effektives Arbeiten zu gewhrleisten und um ein (vor allem quantitativ) produktives Ergebnis  im Aufgabenbeispiel zu erzielen wre es denkbar, die Prinzipien der Gruppenarbeit und von parallel arbeitenden Individuen zu kombinieren. Dies wrde bedeuten, dass zunchst alle 8 Mitarbeiter in einem vorher festgelegten Zeitrahmen ohne voneinander beeinflusst zu werden ihre eigenen Ideen schriftlich notieren und erst nachdem die Zeit abgelaufen ist das eigentliche Brainstorming beginnt, also die Ideen der Reihe nach vorgetragen und gesammelt werden. Natrlich ist es auch erlaubt neue Ideen, die auf das Gesagte eines Mitarbeiters basieren oder sich daraus ergeben, mit einzubringen. Dadurch wrde die Quantitt vermutlich nicht nur grer ausfallen als in einer reinen Gruppenarbeit sondern auch als die kombinierte Anzahl an Ideen von parallel arbeitenden Individuen. Um jedoch das Problem der Produktionsblockierungshypothese zu vermeiden sollte darauf geachtet werden, dass diese neuen Ideen auch zunchst notiert und erst in einer Redepause vorgetragen werden. Auerdem wre es sinnvoll einen Moderator aus den Mitarbeitern auszuwhlen, der darauf achtet, dass erstens die genannten Regeln nach Osborn eingehalten werden und zweitens niemand unterbrochen wird, es sei denn das Brainstorming entwickelt sich zu einem Monolog."
8;363;"Hallo zusammenSorry, dass ich mich erst jetzt melde. Wie ihr seht habe ich im Etherpad noch ein paar Ideen zur Aufgabe geschrieben. Eventuell kann ja noch jemand was zu diesem Leistungsvergleichsexperiment von Taylor, Berry und Block schreiben, damit man versteht woher meine parallel arbeitenden Individuen kommen :D Also bis jetzt sind es ca 340 Wrter. Falls also die beiden, die noch nichts geschrieben haben ungefhr nochmal so viel dazu beitragen haben wirs ja geschafft ;)"
9;400;"Hi! Sorry, ich habs total vercheckt.. setze mich jetzt dran. "
10;400;"Nach der Theorie von Alex Osborn versteht man unter dem Brainstorming in Gruppen ein kreatives Problemlsen, welches in fact-finding, idea-finding und solution-finding unterteilt wird. Diese lauten: Je mehr Ideen, desto besser; Je ungewhnlicher die Ideen, desto besser; Verbessere und Ergnze bereits genannte Ideen; Enthalte dich jeglicher Kritik."
11;400;"Osborn hat behauptet, dass bei dem Brainstormen in der Gruppe vor allem ein Vorteil im Fokus steht: Ideengenerierung. Sprich, dass Individuen in einer Gruppe durch gemeinsames Brainstorming mehr Ideen entwickeln knnen als in stiller Einzelarbeit. Der heutige Stand der Wissenschaft beweist, dass die Behauptung des Amerikaners nicht der Realitt entspricht."
12;400;"Die selbststndig gefhrte Denkarbeit ist essentieller Bestandteil des Brainstormings. Wenn whrend des Prozesses Einschitte durch andere Mitarbeiter stattfinden und diese ihre Ideen mitteilen, schadet die verursachte Unterbrechung der subjektiven Ideengewinnung. Demnach ist es sinnvoller, den Beteiligten einen zeitlichen Vorsprung einzurumen und ein gemeinsames Brainstormen dem folgen zu lassen."
13;400;"So, mein Anteil ist fertig. Insgesamt sind wir jetzt bei 443 Wrtern, fair aufgeteilt msste jedeR 150 Wrte verfassen. Ich hoffe Person Numero 4 meldet sich noch! "
