PostId;StudentId;Content
3;64;"Nach Osborn beruht Brainstorming auf zwei Prinzipien: zum einen dem aufschub von Kritik, zum Anderen auf Quantitt erzeugt Qualitt. Whrend die Gruppe Ideen aufschreibt, sollte keine Kritik gebt werden, da das den Prozess verlangsamt und auf Unwesentliches ablenkt, wie zum Beispiel einer Diskussion, ob die genannte Idee gut oder schlecht ist. Man soll sich beim Prozess des Brainstormings an vier Regeln halten: 1. Je mehr Ideen, desto besser, 2. je ungewhnlichere Ideen, desto besser, 3. verbessern und ergnzen bereits genannter Ideen, 4. sich jeglicher Kritik enthalten. Man sollte grundstzlich keine Ideen zurckhalten und sie nennen, sofern sie die Reduktion des Abfalls betreffen und konstruktiv sind. Da jeweils nur eine Person das Wort ergreifen kann, sollte man der Reihe nach vorgehen. So entgeht man auch dem Problem des Trittbrettfahrens. Auerdem hat so jeder kurz Zeit seine Idee im Kopf reifen zu lassen, um dann sicher zu sein, dass diese konstruktiv ist. Weiterhin ist so die Mglichkeit gegeben, dass man einander ausreden lsst. Eine letzte Mglichkeit den Ideenfluss nicht zu blockieren, ist, dass sich die betroffenen Personen alleine vor dem gemeinsamen Brainstormen ihre Ideen aufschreiben. So kann keine Idee vergessen werden und genannte Ideen werden abgehakt und nicht doppelt genannt."
4;393;"Nach Osborn beruht Brainstorming auf zwei Prinzipien: zum einen dem Aufschub von Kritik, zum Anderen auf Quantitt erzeugt Qualitt. Eine letzte Mglichkeit den Ideenfluss nicht zu blockieren, ist, dass sich die betroffenen Personen alleine vor dem gemeinsamen Brainstormen ihre Ideen in einem so genannten Brainwriting aufschreiben, so kann keine Idee vergessen werden und genannte Ideen werden abgehakt und nicht doppelt genannt. Wenn das Software Unternehmen die ntigen Vorraussetzungen besitzt, wovon auszugehen ist, knnte es auch auf die Technik des elektronischen Brainstormings zurckgreifen. Ein Vorteil der durch das Brainwriting und das elektronische Brainstrorming erzeugt wird, ist die Vermeidung von Produktionsblockierung und kognitiver Strung, die zu einer Unterbrechung des Gedankenganges und einer Deaktivierung des aktivierten Images fhrt. So kommt es zur einer potentiellen kognitiven Stimulierung die sich positiv auf die Lsungsfindung auswirkt, ohne die vorher erwhnten negativen Effekte zu generieren."
5;393;"Hallo Zusammen!Hab den Text mal ein bisschen ergnzt, bin leider erst wieder Sonntagabend online."
7;393;"Ziel des Brainstorming ist es in dieser Situation eine Vielzahl von potentiellen Ideen zusammenzufassen, die es ermglichen den Abfall im Broalltag zu reduzieren. Auch wre es sinnvoll das die Abgabe der Ideen anonym vollzogen wird, damit es nicht zur einer Berwertunsangst un der damit einhergehenden Selbstzensur kommt. Werden alle gennanten Punkte bercksichtigt, ist es mglich eine Vielzahl von Ideen aus unterschiedlichen Kategorien zu aggregieren."
8;393;"Wr gut wenn noch jemand was zum ergnzen hat, damit wir auf die 600 Wrter kommen"
9;359;"Nach Osborn beruht Brainstorming auf zwei Prinzipien: zum einen dem Aufschub von Kritik, zum anderen auf Quantitt erzeugt Qualitt. je ungewhnlicher die Idee, desto besser, 3. So entgeht man auch dem Problem des Trittbrettfahrens,das den Gesamtprozess strt, da bereits genannte (eventuell auch schwchere) Vorschlge  immer wieder aufgegriffen werden. Eine letzte Mglichkeit den Ideenfluss nicht zu blockieren, ist, dass sich die betroffenen Personen alleine vor dem gemeinsamen Brainstormen ihre Ideen in einem so genannten Brainwriting aufschreiben: So kann keine Idee vergessen werden und genannte Ideen werden abgehakt und nicht doppelt genannt. Wenn das Software Unternehmen die ntigen Voraussetzungen besitzt, wovon auszugehen ist, knnte es auch auf die Technik des elektronischen Brainstormings zurckgreifen. Ein Vorteil der durch das Brainwriting und das elektronische Brainstorming erzeugt wird, ist die Vermeidung von Produktionsblockierung und kognitiver Strung, die zu einer Unterbrechung des Gedankenganges und einer Deaktivierung des aktivierten Images fhrt. So kommt es zur einer potentiellen kognitiven Stimulierung, die sich positiv auf die Lsungsfindung auswirkt, ohne die vorher erwhnten negativen Effekte zu generieren. Auch wre es sinnvoll,dass die Abgabe der Ideen anonym vollzogen wird, damit es nicht zur einer Bewertunsangst und der damit einhergehenden Selbstzensur kommt. Brainstorming sollte im Allgemeinen gut organisiert sein, um schnell und produktiv zu einer Lsung des Problems zu gelangen. Im oben genannten Beispiel sollen 8 Mitarbeiter an einer Lsung des Problems arbeiten. Geht man davon aus, dass es sich dabei nicht um ausgebildete Experten zum Thema Abfallbeseitigung geht,kommt es sichzu einer heterogenen Ideenuerung. Die Folge ist meist ein breites Ideenspektrum, das viele mglliche Lsungen aufzeigt, die jedoch auch unsortiert oder widersprchlich sein knnen. Organisation und ein rationaler Blick auf das Gesamtergebnis sind deshalb essentiell wichtig, um einen Vorteil aus der groen Ideenvielfalt zu ziehen : Eine kreative Lsung des Abfallproblems. Abschlieend knnte man eine Bewertung der aufgelisteten Vorschlge durchfhren, um zu gewhrleisten, dass nur wirklich sinnvolle Beitrge bis ins Detail vertieft und allzu abwegige zunchst verworfen werden. Werden alle genannten Punkte bercksichtigt, ist es mglich eine Vielzahl von Ideen aus unterschiedlichen Kategorien zu aggregieren."
10;359;"Ich habe, so gut ich konnte, ergnzt. wir sind jetzt bei 488 Wrtern :/"
11;359;"Nach Osborn beruht Brainstorming auf zwei Prinzipien: Zum einen sollte jegliche Kritik bis zum Schluss aufgeschoben werden, zum anderen soll Quantitt schlussendlich Qualitt erzeugen."
12;359;"Der Prozess der Ideengenerierung wird bei dem Brainwriting nicht dadurch gestrt, dass eine bestimmte Gesprchsreihenfolge eingehalten werden muss und jeder Einzelne abwarten muss, bis er an der Reihe ist. Geht man davon aus, dass es sich dabei nicht um ausgebildete Experten zum Thema Abfallbeseitigung geht, kommt eszu einer heterogenen Ideenuerung. Die Folge ist meist ein breites Ideenspektrum, das viele mgliche Lsungen aufzeigt, die jedoch auch unsortiert oder widersprchlich sein knnen. Weiterhin wre eine Kategorisierung der Vorschlge sinnvoll: So knnte man die reine Abfallvermeidung von Recycling oder der Digitalisierung des Datenbestandes unterscheiden. Dadurch wird es leichter, noch nicht bercksichtigte Aspekte zu bemerken und gegebenenfalls zu ergnzen. So knnen das Spektrum und die Tiefe der Ideen optimal angepasst werden. Bercksichtigt man alle genannten Manahmen, ist es mglich eine Vielzahl von Ideen aus unterschiedlichen Kategorien zu aggregieren."
13;359;"565 Wrter. Wer etwas ergnzen mchte, ist hiermit herzlich dazu eingeladen"
14;359;"Geht man davon aus, dass es sich dabei nicht um ausgebildete Experten zum Thema Abfallbeseitigung geht, kommt es zu einer heterogenen Ideenuerung."
